2026-09-11 16:53:09 | INFO    | PipelineLogger.write | PIPELINE EXECUTE | project_id=wcfmovimento | environment_id=production | version='1.0.0' | revision=0 | publication_mode='local'
2026-09-11 16:53:09 | INFO    | PipelineLogger.write | PIPELINE USE CASE | project_id=wcfmovimento | environment_id=production | version='1.0.0' | revision=0 | publication_mode='local'
2026-09-11 16:53:10 | INFO    | PipelineLogger.write | VALIDAÇÃO DO PROJETO
2026-09-11 16:53:11 | INFO    | PipelineLogger.write | Project ID........: wcfmovimento
2026-09-11 16:53:11 | INFO    | PipelineLogger.write | Project Path......: 02-Source\02-Server\OuroNet.Server.WCF.Movement\OuroNet.Server.WCF.Movement.csproj
2026-09-11 16:53:12 | INFO    | PipelineLogger.write | Workspace Root....: C:\DvpLocal\WorkSpaceTFS\OuroNet\Scc\Producao\OuroNet
2026-09-11 16:53:12 | INFO    | PipelineLogger.write | Project File......: C:\DvpLocal\WorkSpaceTFS\OuroNet\Scc\Producao\OuroNet\02-Source\02-Server\OuroNet.Server.WCF.Movement\OuroNet.Server.WCF.Movement.csproj
2026-09-11 16:53:12 | INFO    | PipelineLogger.write | VALIDAÇÃO DO PROJETO - OK
2026-09-11 16:53:12 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:53:12 | INFO    | PipelineLogger.write | PIPELINE RUNNER - INICIO
2026-09-11 16:53:12 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:53:12 | INFO    | PipelineLogger.write | Arquivo........: C:\Custom\ourobuild\app\pipeline\runner\pipeline_runner.py
2026-09-11 16:53:12 | INFO    | PipelineLogger.write | Pipeline.......: Build Pipeline
2026-09-11 16:53:12 | INFO    | PipelineLogger.write | Quantidade Steps: 4
2026-09-11 16:53:12 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:53:13 | INFO    | PipelineLogger.write | 
2026-09-11 16:53:13 | INFO    | PipelineLogger.write | ================================================================================
2026-09-11 16:53:13 | INFO    | PipelineLogger.write | EXECUTANDO STEP: Restore
2026-09-11 16:53:13 | INFO    | PipelineLogger.write | STEP CLASS.....: RestoreStep
2026-09-11 16:53:13 | INFO    | PipelineLogger.write | ================================================================================
